"","ID","divenum","stime","logMDDD.x","logMDDD.y","knownState","label"
"113","A100b",254,2020-08-20 14:02:48,2.38856183988549,4.45199158670517,4,4
"114","A100b",257,2020-08-20 14:05:04,2.23418641673737,4.62709319263222,4,4
"115","A100b",262,2020-08-20 14:08:09,2.25802159554069,4.71099202486332,4,4
"116","A100b",268,2020-08-20 14:11:41,1.45358533651871,3.64197063189714,4,4
"117","A100b",269,2020-08-20 14:12:21,1.62188935794651,3.53351787632135,4,4
"118","A100b",270,2020-08-20 14:12:56,1.55065629998199,3.45257434778192,4,4
"119","A100b",272,2020-08-20 14:14:00,1.62552275920251,3.95275342481194,4,4
"120","A100b",273,2020-08-20 14:14:54,1.46076009373273,3.45753416238176,4,4
"121","A100b",274,2020-08-20 14:15:27,1.90860497138905,4.21052885993731,4,4
"122","A100b",277,2020-08-20 14:17:27,1.50834634899463,3.52458691899568,4,4
"123","A100b",278,2020-08-20 14:18:02,1.47409511030964,3.52447415365475,4,4
"124","A100b",279,2020-08-20 14:18:37,1.62642866373714,4.69472271564165,4,4
"125","A100b",280,2020-08-20 14:20:27,1.63802837865701,4.06152254740035,4,4
"126","A100b",281,2020-08-20 14:21:27,1.60170308769306,3.53865997120874,4,4
"127","A100b",282,2020-08-20 14:22:03,1.55447377946849,3.56226404930555,4,4
"128","A100b",284,2020-08-20 14:22:59,1.42278534803504,3.53532804689213,4,4
"129","A100b",287,2020-08-20 14:24:31,1.36645536743276,3.5394032684279,4,4
"130","A100b",290,2020-08-20 14:25:53,1.42372293571917,3.62220328449461,4,4
"131","A100b",291,2020-08-20 14:26:31,1.30019760807656,4.426272057766,4,4
"132","A100b",292,2020-08-20 14:27:56,1.59591652919342,3.56913367473145,4,4
"133","A100b",293,2020-08-20 14:28:33,1.74834953337275,4.19406909387273,4,4
"134","A100b",294,2020-08-20 14:29:40,1.88239550297066,4.06268052991685,4,4
"135","A100b",296,2020-08-20 14:31:06,1.53859015151692,3.44243507794014,4,4
"136","A100b",297,2020-08-20 14:31:39,1.76171714205914,3.68943262472095,4,4
"137","A100b",298,2020-08-20 14:32:21,1.61519944627358,3.71585929805051,4,4
"138","A100b",299,2020-08-20 14:33:03,1.6531980057756,3.42397905482425,4,4
"139","A100b",300,2020-08-20 14:33:35,1.50535426253412,3.92304967009665,4,4
"140","A100b",302,2020-08-20 14:34:50,1.61670661140913,4.17057177448638,4,4
"141","A100b",304,2020-08-20 14:36:27,1.70575444976089,3.73738721358278,4,4
"142","A100b",308,2020-08-20 14:38:36,1.72628771796972,4.58775696551529,4,4
"143","A100b",309,2020-08-20 14:40:16,1.8178578800115,3.99425505509577,4,4
"144","A100b",311,2020-08-20 14:41:33,1.64342109060066,3.72533283069626,4,4
"145","A100b",312,2020-08-20 14:42:16,1.55563020461717,3.5188444883702,4,4
"146","A100b",315,2020-08-20 14:43:24,0.790436646412975,3.72396210671556,4,4
"147","A100b",331,2020-08-20 14:49:25,1.47258747006808,3.71288316223102,4,4
"148","A100b",332,2020-08-20 14:50:07,1.18055868245621,3.91568421358806,4,4
"149","A100b",335,2020-08-20 14:51:44,1.08857413735215,3.45506232508851,4,4
"150","A100b",338,2020-08-20 14:52:58,1.10969194071414,3.99766037512378,4,4
"151","A100b",340,2020-08-20 14:54:23,1.2550856465821,3.41199542520611,4,4
"152","A100b",341,2020-08-20 14:54:55,1.08302359846205,4.15615485427084,4,4
"153","A100b",344,2020-08-20 14:56:43,1.17078333303355,3.42571275864721,4,4
"154","A100b",348,2020-08-20 14:58:32,1.22185990872389,3.73214327404454,4,4
"155","A100b",351,2020-08-20 15:00:14,1.00827985272163,3.80662039526672,4,4
"156","A100b",352,2020-08-20 15:01:00,1.41789009353321,4.1501373758478,4,4
"157","A100b",354,2020-08-20 15:02:14,1.02097054409222,3.73752198748368,4,4
"158","A100b",355,2020-08-20 15:02:58,1.37927313563808,3.69423621995069,4,4
